vcc	V(n003)	Ic(Q1)
4.549999999999983e+000	-3.316501e+000	4.504332e-004
4.599999999999983e+000	-3.316491e+000	4.504361e-004
4.649999999999983e+000	-3.316481e+000	4.504389e-004
4.699999999999982e+000	-3.316471e+000	4.504417e-004
4.749999999999982e+000	-3.316462e+000	4.504445e-004
4.799999999999982e+000	-3.316452e+000	4.504473e-004
4.849999999999982e+000	-3.316442e+000	4.504502e-004
4.899999999999982e+000	-3.316432e+000	4.504530e-004
4.949999999999982e+000	-3.316422e+000	4.504558e-004
5.000000000000000e+000	-3.316412e+000	4.504586e-004
